reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,Id
8352e38f-d9c6-4716-a5bb-83e0742f1166,Sonmoni roybarman,https://play-lh.googleusercontent.com/a/ACg8ocKjC0OPmoUhPbo94kudFMFU3zT0iY5_1sL5icPglRM=mo,My attitude,5,0,,2024-02-15 18:08:30,,,,com.snapchat.android
dad16992-0680-454e-a85d-52d2aae6d5d3,frank okafor,https://play-lh.googleusercontent.com/a-/ALV-UjWHW9aMoazP5MBNL6Nw4p1XjgIegkJSj5FSqhyqXCVwI54,Good,4,4,12.72.0.37,2024-02-15 18:05:32,,,12.72.0.37,com.snapchat.android
7569fb87-ee0b-4e2f-b5fb-2a44690c6682,Olajide Opeyemi,https://play-lh.googleusercontent.com/a/ACg8ocIQ7OD06H0Tnj8ZhpaopiNydS0MgcTmqheBUT-2wFyu=mo,Fast and reliable,5,0,,2024-02-15 16:36:18,,,,com.snapchat.android
9bef0d6a-4d64-407e-a84a-4de4e3d5831f,MEER Waqas,https://play-lh.googleusercontent.com/a/ACg8ocLAsKZaN5JLI1vtOvbjSd4FuH_rWgTtziToRY2bw3bP=mo,GOOD MORNING,5,0,,2024-02-15 16:09:58,,,,com.snapchat.android
4758a701-aaf4-48a6-bec2-adea457cb76d,Jerald Olorvida lomtong,https://play-lh.googleusercontent.com/a/ACg8ocKM2u1J4OfaNWI3BziNeEZsz8FP0DAyScCBBkR6YvYS=mo,Please send me your number,5,0,,2024-02-15 15:52:49,,,,com.snapchat.android
7b6695ee-ec5b-44ac-a1ad-b4783ba69f65,Md Rayhan,https://play-lh.googleusercontent.com/a/ACg8ocK9sqDdgNeXgWSlcphstKx2loHbUaxFASzMTZz5A_cg=mo,রায়হান,5,0,,2024-02-15 14:14:47,,,,com.snapchat.android
8bd3c3c6-50e4-4eb1-b8a7-576574062e61,Agboba Praise,https://play-lh.googleusercontent.com/a/ACg8ocJB9qCvk9dKxYTEsKce4K4k9EmEKhi-yyXxjlKTIN52=mo,I love this app alot,5,0,12.73.0.40,2024-02-15 13:53:35,,,12.73.0.40,com.snapchat.android
d1e52026-42c5-4608-9b89-2049c5bacea2,Farman Saifi,https://play-lh.googleusercontent.com/a/ACg8ocKr8bQls1Sqf8VaoqgA3zb9EXfWt9FXaChSR-krW1au=mo,I love my snapchat,5,0,,2024-02-15 13:39:20,,,,com.snapchat.android
c20b6754-d3f9-4d8e-9f7d-fdbeaa95ea39,Aisha Ibrahim,https://play-lh.googleusercontent.com/a/ACg8ocIKHwLuP1sWfCPEO0wF8Uq-qD2aeHq5WoKfkkBBt-em=mo,A ishat lbraheem,5,0,,2024-02-15 13:20:39,,,,com.snapchat.android
d37a861e-a69f-4a42-988a-841149323908,Beral Kerea,https://play-lh.googleusercontent.com/a/ACg8ocJEs2xlwjN_GF7_XZjINr3oO9lSF1spOHlqdeJWwR6J=mo,I love the,5,0,,2024-02-15 12:49:46,,,,com.snapchat.android
d59d136a-652d-4e3c-8306-bbcbaacd8c75,Waqar Ali,https://play-lh.googleusercontent.com/a/ACg8ocIitjN5a6KFNBXkgjbvVe0XlyGIgyaqwuEH270v8x_H=mo,Hi G,5,2,,2024-02-15 12:46:27,,,,com.snapchat.android
a53ae6a0-884f-4f01-b6a4-2e3ceb115513,Mohib Khan,https://play-lh.googleusercontent.com/a/ACg8ocK7qvwmRkRbJK5c-MBH7lSD1ntpaJGosI0re1vAlvQh=mo,Nice,5,1,,2024-02-15 11:49:33,,,,com.snapchat.android
114ec48f-a433-4a5e-aea7-ba27c9c58479,Sabir Ahmad kha,https://play-lh.googleusercontent.com/a/ACg8ocJU6W1P_FCfs4lpJwPByWUcFOlgKow8xi0bKq3FgZgw=mo,Best camera,5,1,,2024-02-15 09:30:36,,,,com.snapchat.android
9ffb3369-2cb9-45a4-8148-855f2fe46c3d,Memory Chimwaza,https://play-lh.googleusercontent.com/a/ACg8ocJshBqN4PTvuPrCehtAzPPOjdbfjNeBGBAVlsTOnJpu=mo,I love it,5,1,,2024-02-15 09:01:58,,,,com.snapchat.android
